Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-31,119.16000366210938,121.0999984741211,118.33000183105469,120.20999908447266,1149600,0,0
2022-06-01,120.83000183105469,120.83000183105469,116.91000366210938,119.27999877929688,2386000,0,0
2022-06-02,119.80999755859375,122.20999908447266,116.7300033569336,122.06999969482422,962400,0,0
2022-06-03,121.61000061035156,121.61000061035156,119.75,120.62999725341797,1116900,0,0
2022-06-06,122.05000305175781,122.05000305175781,118.26000213623047,118.41000366210938,836100,0,0
2022-06-07,117.66999816894531,119.20999908447266,117.19000244140625,119.12999725341797,1023300,0,0
2022-06-08,118.70999908447266,119.55999755859375,117.83999633789062,118.52999877929688,1084900,0,0
2022-06-09,118.20999908447266,118.2300033569336,114.94999694824219,115.02999877929688,828100,0,0
2022-06-10,112.76000213623047,114.54000091552734,112.58000183105469,113.37999725341797,1455000,0,0
2022-06-13,110.66999816894531,112.16999816894531,109.52999877929688,110.0999984741211,1823700,0,0
2022-06-14,109.93000030517578,109.93000030517578,104.56999969482422,105.2699966430664,1684400,0,0
2022-06-15,106.01000213623047,108.55999755859375,105.83000183105469,106.97000122070312,1286500,0,0
2022-06-16,104.58999633789062,104.69999694824219,102.5,103.23999786376953,1468800,0,0
2022-06-17,103.44999694824219,105.16000366210938,102.22000122070312,102.6500015258789,2228200,0,0
2022-06-21,104.55999755859375,105.31999969482422,101.9800033569336,102.2300033569336,1235600,0,0
2022-06-22,101.5,107.19999694824219,101.22000122070312,105.30999755859375,1754100,0,0
2022-06-23,105.44000244140625,106.94999694824219,104.87999725341797,106.4000015258789,1168100,0,0
2022-06-24,107.52999877929688,109.19999694824219,105.61000061035156,108.87000274658203,1580800,0,0
2022-06-27,109.12000274658203,109.30999755859375,107.62000274658203,108.51000213623047,953100,0,0
2022-06-28,109.0,110.30999755859375,106.37999725341797,106.4800033569336,846500,0,0
2022-06-29,106.72000122070312,107.55000305175781,105.9000015258789,106.55000305175781,1240300,0,0
2022-06-30,105.43000030517578,106.91999816894531,103.18000030517578,105.05999755859375,1466500,0,0
2022-07-01,105.20999908447266,107.36000061035156,104.33999633789062,107.2699966430664,954200,0,0
2022-07-05,105.98999786376953,106.93000030517578,104.20999908447266,106.88999938964844,838400,0,0
2022-07-06,106.6500015258789,107.08000183105469,104.73999786376953,105.7300033569336,873200,0,0
2022-07-07,105.77999877929688,106.19999694824219,104.41999816894531,106.05999755859375,949800,0,0
2022-07-08,106.08999633789062,106.79000091552734,105.16000366210938,105.33999633789062,747000,0,0
2022-07-11,103.79000091552734,104.55999755859375,102.62999725341797,103.30000305175781,996500,0,0
2022-07-12,102.5,103.87999725341797,102.5,103.02999877929688,965800,0,0
2022-07-13,101.44999694824219,103.05999755859375,100.54000091552734,102.44000244140625,1064700,0,0
2022-07-14,101.01000213623047,101.91999816894531,100.38999938964844,101.6500015258789,1175000,0,0
2022-07-15,103.80000305175781,104.16000366210938,102.56999969482422,103.51000213623047,883000,0,0
2022-07-18,103.7699966430664,105.13999938964844,103.16999816894531,103.4800033569336,1021900,0,0
2022-07-19,105.04000091552734,107.83999633789062,104.79000091552734,107.23999786376953,1471100,0,0
2022-07-20,107.29000091552734,109.12999725341797,106.81999969482422,108.0,1281700,0,0
2022-07-21,108.29000091552734,109.33999633789062,108.0199966430664,108.44999694824219,1222700,0,0
2022-07-22,108.31999969482422,109.20999908447266,106.62999725341797,107.0,1140900,0,0
2022-07-25,107.01000213623047,108.25,106.7300033569336,107.9000015258789,1254100,0,0
2022-07-26,108.26000213623047,108.66999816894531,106.91000366210938,108.0199966430664,1154000,0,0
2022-07-27,109.19999694824219,111.38999938964844,108.5,111.11000061035156,1650700,0,0
2022-07-28,110.76000213623047,111.19000244140625,107.6500015258789,110.77999877929688,2278200,0,0
2022-07-29,110.4000015258789,110.98999786376953,108.7300033569336,110.38999938964844,1580500,0,0
2022-08-01,109.25,110.7300033569336,107.06999969482422,109.76000213623047,1488800,0,0
2022-08-02,113.01000213623047,116.45999908447266,113.0,114.05999755859375,2076200,0,0
2022-08-03,115.05000305175781,116.30000305175781,114.16999816894531,115.61000061035156,1339600,0,0
2022-08-04,115.83999633789062,115.83999633789062,113.2699966430664,113.3499984741211,852600,0,0
2022-08-05,112.51000213623047,113.83000183105469,112.25,113.26000213623047,596900,0,0
2022-08-08,113.83000183105469,114.37000274658203,113.0,113.16000366210938,534200,0,0
2022-08-09,112.91000366210938,113.3499984741211,112.13999938964844,112.48999786376953,869500,0,0
2022-08-10,114.41000366210938,115.1500015258789,113.41000366210938,114.97000122070312,643800,0,0
2022-08-11,115.66999816894531,116.94000244140625,114.72000122070312,115.0,594800,0,0
2022-08-12,115.5199966430664,117.29000091552734,115.30000305175781,117.22000122070312,641900,0,0
